INFO:root:Application started
ERROR:root:Something went wrong
2026-08-20 14:56:15,308 | __main__ | DEBUG | Debug message
2026-08-20 14:56:15,309 | __main__ | INFO | Application started
2026-08-20 14:56:15,309 | __main__ | WARNING | Low memory
2026-08-20 14:56:15,309 | __main__ | ERROR | Database error
2026-08-20 14:56:15,310 | __main__ | CRITICAL | Application crashed
2026-08-21 05:10:55,820 | __main__ | WARNING | Low memory
2026-08-21 05:10:55,821 | __main__ | ERROR | Database error
2026-08-21 05:10:55,821 | __main__ | CRITICAL | Application crashed
2026-08-21 05:11:35,374 | __main__ | DEBUG | Debug message
2026-08-21 05:11:35,375 | __main__ | INFO | Application started
2026-08-21 05:11:35,375 | __main__ | WARNING | Low memory
2026-08-21 05:11:35,377 | __main__ | ERROR | Database error
2026-08-21 05:11:35,377 | __main__ | CRITICAL | Application crashed
